season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,De'Andre Hunter,,,,8.0,,,,232.0,,,,,,,,,,,,0.561,26.3,,,basketball-reference
2025-26,Regular Season,,Tristan Da Silva,,,,11.0,,,,229.0,,,,,,,,,,,,0.613,19.3,,,basketball-reference
2025-26,Regular Season,,Patrick Williams,,,,10.0,,,,229.0,,,,,,,,,,,,0.603,14.1,,,basketball-reference
2025-26,Regular Season,,Zaccharie Risacher,,,,9.0,,,,229.0,,,,,,,,,,,,0.53,21.2,,,basketball-reference
2025-26,Regular Season,,Pelle Larsson,,,,11.0,,,,227.0,,,,,,,,,,,,0.67,16.1,,,basketball-reference
2025-26,Regular Season,,Bobby Portis,,,,11.0,,,,226.0,,,,,,,,,,,,0.545,20.0,,,basketball-reference
2025-26,Regular Season,,Cam Thomas,,,,8.0,,,,226.0,,,,,,,,,,,,0.546,31.9,,,basketball-reference
2025-26,Regular Season,,Javonte Green,,,,11.0,,,,225.0,,,,,,,,,,,,0.466,13.3,,,basketball-reference
2025-26,Regular Season,,Tari Eason,,,,9.0,,,,224.0,,,,,,,,,,,,0.65,18.0,,,basketball-reference
2025-26,Regular Season,,Mike Conley,,,,11.0,,,,223.0,,,,,,,,,,,,0.653,12.8,,,basketball-reference
2025-26,Regular Season,,Luguentz Dort,,,,7.0,,,,223.0,,,,,,,,,,,,0.428,12.3,,,basketball-reference
2025-26,Regular Season,,Luke Kennard,,,,9.0,,,,222.0,,,,,,,,,,,,0.628,13.9,,,basketball-reference
2025-26,Regular Season,,Josh Minott,,,,10.0,,,,221.0,,,,,,,,,,,,0.578,15.3,,,basketball-reference
2025-26,Regular Season,,Tre Mann,,,,10.0,,,,220.0,,,,,,,,,,,,0.454,26.0,,,basketball-reference
2025-26,Regular Season,,Jarred Vanderbilt,,,,11.0,,,,219.0,,,,,,,,,,,,0.556,12.8,,,basketball-reference
2025-26,Regular Season,,Chet Holmgren,,,,7.0,,,,218.0,,,,,,,,,,,,0.679,22.9,,,basketball-reference
2025-26,Regular Season,,Jusuf Nurkić,,,,10.0,,,,217.0,,,,,,,,,,,,0.402,20.6,,,basketball-reference
2025-26,Regular Season,,Corey Kispert,,,,11.0,,,,213.0,,,,,,,,,,,,0.672,14.8,,,basketball-reference
2025-26,Regular Season,,Dean Wade,,,,10.0,,,,213.0,,,,,,,,,,,,0.534,10.7,,,basketball-reference
2025-26,Regular Season,,Simone Fontecchio,,,,11.0,,,,212.0,,,,,,,,,,,,0.692,19.2,,,basketball-reference
2025-26,Regular Season,,Jordan Poole,,,,7.0,,,,212.0,,,,,,,,,,,,0.535,25.5,,,basketball-reference
2025-26,Regular Season,,Tyrese Martin,,,,10.0,,,,211.0,,,,,,,,,,,,0.441,18.1,,,basketball-reference
2025-26,Regular Season,,Lonzo Ball,,,,9.0,,,,211.0,,,,,,,,,,,,0.424,13.9,,,basketball-reference
2025-26,Regular Season,,Moussa Diabaté,,,,10.0,,,,209.0,,,,,,,,,,,,0.685,15.8,,,basketball-reference
2025-26,Regular Season,,Kristaps Porziņģis,,,,8.0,,,,209.0,,,,,,,,,,,,0.579,26.8,,,basketball-reference
2025-26,Regular Season,,Sam Merrill,,,,8.0,,,,208.0,,,,,,,,,,,,0.724,17.1,,,basketball-reference
2025-26,Regular Season,,Isaiah Stewart,,,,9.0,,,,207.0,,,,,,,,,,,,0.58,17.8,,,basketball-reference
2025-26,Regular Season,,Ayo Dosunmu,,,,8.0,,,,207.0,,,,,,,,,,,,0.676,19.5,,,basketball-reference
2025-26,Regular Season,,Tim Hardaway Jr.,,,,9.0,,,,206.0,,,,,,,,,,,,0.652,16.8,,,basketball-reference
2025-26,Regular Season,,Moses Moody,,,,9.0,,,,206.0,,,,,,,,,,,,0.611,20.2,,,basketball-reference
2025-26,Regular Season,,Josh Okogie,,,,9.0,,,,203.0,,,,,,,,,,,,0.703,12.4,,,basketball-reference
2025-26,Regular Season,,Cole Anthony,,,,10.0,,,,201.0,,,,,,,,,,,,0.537,25.2,,,basketball-reference
2025-26,Regular Season,,Kawhi Leonard,,,,6.0,,,,201.0,,,,,,,,,,,,0.625,28.3,,,basketball-reference
