season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,Tari Eason,,,,7.0,,,,180.0,,,,,,,,,,,,0.66,18.3,,,basketball-reference
2025-26,Regular Season,,Jarred Vanderbilt,,,,9.0,,,,175.0,,,,,,,,,,,,0.549,12.7,,,basketball-reference
2025-26,Regular Season,,Ron Holland,,,,8.0,,,,174.0,,,,,,,,,,,,0.593,19.4,,,basketball-reference
2025-26,Regular Season,,Kevin Huerter,,,,7.0,,,,174.0,,,,,,,,,,,,0.617,20.4,,,basketball-reference
2025-26,Regular Season,,Mike Conley,,,,8.0,,,,172.0,,,,,,,,,,,,0.616,13.9,,,basketball-reference
2025-26,Regular Season,,Jusuf Nurkić,,,,8.0,,,,172.0,,,,,,,,,,,,0.434,21.5,,,basketball-reference
2025-26,Regular Season,,Dean Wade,,,,8.0,,,,172.0,,,,,,,,,,,,0.531,11.2,,,basketball-reference
2025-26,Regular Season,,Tristan Da Silva,,,,8.0,,,,171.0,,,,,,,,,,,,0.642,19.7,,,basketball-reference
2025-26,Regular Season,,Nikola Jović,,,,8.0,,,,171.0,,,,,,,,,,,,0.534,17.9,,,basketball-reference
2025-26,Regular Season,,Taurean Prince,,,,8.0,,,,169.0,,,,,,,,,,,,0.623,11.2,,,basketball-reference
2025-26,Regular Season,,Lonzo Ball,,,,7.0,,,,169.0,,,,,,,,,,,,0.405,15.0,,,basketball-reference
2025-26,Regular Season,,Josh Hart,,,,7.0,,,,169.0,,,,,,,,,,,,0.538,15.1,,,basketball-reference
2025-26,Regular Season,,Keldon Johnson,,,,7.0,,,,169.0,,,,,,,,,,,,0.728,16.7,,,basketball-reference
2025-26,Regular Season,,Isaac Okoro,,,,7.0,,,,168.0,,,,,,,,,,,,0.528,14.7,,,basketball-reference
2025-26,Regular Season,,Tre Mann,,,,8.0,,,,167.0,,,,,,,,,,,,0.471,24.8,,,basketball-reference
2025-26,Regular Season,,Tyrese Martin,,,,8.0,,,,167.0,,,,,,,,,,,,0.504,17.5,,,basketball-reference
2025-26,Regular Season,,Chet Holmgren,,,,5.0,,,,167.0,,,,,,,,,,,,0.705,22.8,,,basketball-reference
2025-26,Regular Season,,Jarrett Allen,,,,6.0,,,,165.0,,,,,,,,,,,,0.661,19.9,,,basketball-reference
